nombre,entidad,cve_alc,alcaldia,cve_col,secc_com,secc_par,POBTOT_sum
LOMAS DE CHAPULTEPEC,9,16,MIGUEL HIDALGO,16-042,"4924, 4931, 4932, 4935, 4936, 4940, 4987","4923, 4937, 4938, 4939, 4942",10431.000000
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),9,16,MIGUEL HIDALGO,16-044,"4963","4964",1645.000000
DEL BOSQUE (POLANCO),9,16,MIGUEL HIDALGO,16-026,,"4918, 4919",3083.000000
PEDREGAL DE SANTA URSULA I,9,3,COYOACAN,03-135,"433, 500, 431, 513, 501","424, 425, 426, 430, 499",11314.000000
AJUSCO I,9,3,COYOACAN,03-128,"376, 377, 378, 379, 404, 493,  498","374",13508.000000
VISTAS DEL MAUREL (U HAB),9,3,COYOACAN,03-124,"477",,1611.000000
IGNACIO ZARAGOZA I,9,17,VENUSTIANO CARRANZA,17-074,"5486, 5487, 5493, 5488, 5491, 5489, 5490, 5483, 5484","5480",11035.000000
CENTRO II,9,17,VENUSTIANO CARRANZA,17-073,"5261, 5264, 5265, 5266","5263",3834.000000
VALENTIN GOMEZ FARIAS,9,17,VENUSTIANO CARRANZA,17-060,"5478, 5479","5477, 5480, 5481, 5485",5508.000000
MORELOS II,9,17,VENUSTIANO CARRANZA,17-084,"5225, 5227, 5224, 5228, 5229, 5230, 5223, 5232, 5233, 5248",,18791.000000
NICOLAS BRAVO,9,17,VENUSTIANO CARRANZA,17-045,"5191","5190",4200.000000
5 DE MAYO,9,16,MIGUEL HIDALGO,16-087,"5075, 5076","5070, 5074",3854.000000
PLUTARCO ELIAS CALLES,9,16,MIGUEL HIDALGO,16-064,,"4996, 4997, 4999",1528.000000
CAMPESTRE COYOACAN (FRACC),9,3,COYOACAN,03-013,,"650, 651, 675",2973.000000
JANITZIO,9,17,VENUSTIANO CARRANZA,17-032,"5213","5206, 5212, 5246",3288.000000
FELIPE ANGELES,9,17,VENUSTIANO CARRANZA,17-027,"5272, 5273, 5271",,3801.000000
AZTECA,9,17,VENUSTIANO CARRANZA,17-009,,"5219, 5237, 5238",2053.000000
ARTES GRAFICAS,9,17,VENUSTIANO CARRANZA,17-006,,"5506, 5507, 5508, 5509",10723.000000
CUATRO ARBOLES,9,17,VENUSTIANO CARRANZA,17-015,"5473","5462, 5463, 5464, 5472",2934.000000
CTM X CULHUACAN (U HAB),9,3,COYOACAN,03-034,"669","667, 668, 670, 671, 672",7970.000000
EMILIANO ZAPATA,9,3,COYOACAN,03-048,,"587",1325.000000
SAN FRANCISCO CULHUACAN (PBLO),9,3,COYOACAN,03-101,"557, 558, 559, 560, 561, 571,  573","572",12652.000000
PARQUE SAN ANDRES,9,3,COYOACAN,03-085,"713, 714","709, 711, 712, 717, 718",5763.000000
OLIMPICA,9,3,COYOACAN,03-083,,"474, 476, 480",1346.000000
CTM EL RISCO (U HAB),9,5,GUSTAVO A. MADERO,05-032,"1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230",,8770.000000
EL ARBOLILLO 2 (U HAB),9,5,GUSTAVO A. MADERO,05-047,"934","928, 932, 933, 935",4808.000000
C T M ARAGON (U),9,5,GUSTAVO A. MADERO,05-014,"1630, 1646, 1647, 1648","1628, 1629",6098.000000
EDUARDO MOLINA II (U HAB),9,5,GUSTAVO A. MADERO,05-042,,"1545",528.000000
VILLA DE ARAGON (FRACC),9,5,GUSTAVO A. MADERO,05-198,"1444, 1445, 1446","1443",4848.000000
NUEVA VALLEJO,9,5,GUSTAVO A. MADERO,05-131,"1463, 1464, 1468","1454, 1458, 1461",3765.000000
SAN JUAN DE ARAGON 6A SECCION (U HAB) I,9,5,GUSTAVO A. MADERO,05-161,"1589, 1590, 1591, 1671","1598",5452.000000
SANTIAGO ATEPETLAC (LA SELVITA) (U HAB),9,5,GUSTAVO A. MADERO,05-173,,"1002",1626.000000
EL CARMEN,9,5,GUSTAVO A. MADERO,05-049,"896, 897","892, 894, 909",8686.000000
HEROE DE NACOZARI,9,5,GUSTAVO A. MADERO,05-077,"1490","1491, 1493",2341.000000
MAXIMINO AVILA CAMACHO,9,5,GUSTAVO A. MADERO,05-126,"1481","1480, 1484",2021.000000
JOSE MARIA MORELOS Y PAVON I (U HAB),9,5,GUSTAVO A. MADERO,05-088,,"1547",499.000000
SAN FELIPE DE JESUS IV,9,5,GUSTAVO A. MADERO,05-240,"1336, 1338, 1339, 1340, 1346, 1347, 1348, 5537","1349",12355.000000
MARTIN CARRERA I,9,5,GUSTAVO A. MADERO,05-227,"1313, 1314, 1315, 1318, 1319, 1320","1316, 1317, 1321",10660.000000
"MESA LOS HORNOS, TEXCALTENCO",9,12,TLALPAN,12-094,"3906, 3908","3917, 3916",13562.000000
MIRADOR 1A SECC,9,12,TLALPAN,12-096,"3939","3941, 3915",2841.000000
LA PRIMAVERA,9,12,TLALPAN,12-076,,"3935, 3936",5032.000000
LOMAS ALTAS DE PADIERNA SUR,9,12,TLALPAN,12-079,"3879, 3924","3923",6099.000000
LOMAS DE PADIERNA (AMPL),9,12,TLALPAN,12-082,,"3774",701.000000
SAN PEDRO MARTIR (PBLO),9,12,TLALPAN,12-160,"3942, 3943, 3944, 3953, 3995, 3999, 4000","3938, 3911, 4091, 3998, 3954, 3941, 3955",20317.000000
TLALCOLIGIA,9,12,TLALPAN,12-175,"3900, 3902, 3903, 3898, 4001, 3910, 3899","3912, 3893",9935.000000
SAUZALES CEBADALES (U HAB),9,12,TLALPAN,12-164,"4015, 4016",,1907.000000
LA NORIA TEPEPAN,9,13,XOCHIMILCO,13-023,"4129, 4193","4196",5193.000000
POTRERO DE SAN BERNARDINO,9,13,XOCHIMILCO,13-033,"4134","4133, 4135, 4190",2759.000000
SAN ANDRES TOTOLTEPEC (PBLO),9,12,TLALPAN,12-147,"3960, 3963, 3964, 3970","3962, 3959, 3968, 3969, 3961, 3954, 3938, 3955, 3971, 3972, 3965",34996.000000
SAN MIGUEL  XICALCO (PBLO),9,12,TLALPAN,12-154,"3974, 3975","3976, 3958, 3973, 3971",19146.000000
SAN JUAN TEPENAHUAC (PBLO),9,9,MILPA ALTA,09-006,,"3126, 3133",2966.000000
SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,9,5,GUSTAVO A. MADERO,05-246,"1596, 1607, 1608, 1609, 1622","1592, 1597, 1598, 1599, 1610, 1618, 1663",8260.000000
SAN JUAN DE ARAGON 7 SECC (U HAB) I,9,5,GUSTAVO A. MADERO,05-247,"1429, 1432, 1433, 1436, 1449","1408",6210.000000
LOMAS DE  PADIERNA II,9,12,TLALPAN,12-212,"3794, 3804, 3805","3774, 3793, 3806",8931.000000
XAXALCO,9,12,TLALPAN,12-200,,"3984, 3985",3227.000000
ISIDRO FABELA II (ORIENTE),9,12,TLALPAN,12-220,"3748, 3749, 3750, 3751","3752, 3743",7685.000000
JARDINES DEL SUR,9,13,XOCHIMILCO,13-015,"4204, 4206, 4207, 4233","4192, 4205",5528.000000
JARDINES EN LA MONTAA,9,12,TLALPAN,12-067,"3775, 3781","3780",5634.000000
JARDINES DEL AJUSCO,9,12,TLALPAN,12-066,"3807, 3808, 3825",,4060.000000
"AYOCATITLA,  ASUNCIN",9,12,TLALPAN,12-011,,"3984",2586.000000
ARBOLEDAS DEL SUR,9,12,TLALPAN,12-007,"4057, 4050, 4049","4048, 4056, 4075",6162.000000
UNIDADES HABITACIONALES DE TENORIOS,9,12,TLALPAN,12-044,"4027",,1424.000000
LA ASUNCION,9,6,IZTACALCO,06-016,,"1735, 1736, 1770",3224.000000
EX EJIDOS DE LA MAGDALENA MIXIHUCA,9,6,IZTACALCO,06-009,"1679","1710",1797.000000
SAN JUAN TLIHUACA (PBLO),9,2,AZCAPOTZALCO,02-079,"233, 217, 218, 211, 208","209, 232, 235, 237",12575.000000
SAN BARTOLO CAHUALTONGO (PBLO),9,2,AZCAPOTZALCO,02-075,"244","237, 290",3712.000000
PRESIDENTE MADERO (U HAB),9,2,AZCAPOTZALCO,02-064,"196, 206, 207, 195","209",4635.000000
LIBERTAD,9,2,AZCAPOTZALCO,02-044,,"94, 99",1768.000000
OLIVAR DEL CONDE 2DA SECCION I,9,10,ALVARO OBREGON,10-254,"3345, 3340, 3346, 3347, 3478","3325, 3339, 3344",8417.000000
OLIVAR DEL CONDE 1RA SECCION II,9,10,ALVARO OBREGON,10-253,"3337, 3343, 3336, 3338","3327, 3328, 3329, 3344",8368.000000
1RA VICTORIA,9,10,ALVARO OBREGON,10-242,"3260","3212, 3262",2184.000000
TABACALERA,9,15,CUAUHTEMOC,15-031,"4835, 4836, 4853",,3219.000000
RESIDENCIAL MARIA ISABEL,9,10,ALVARO OBREGON,10-258,,"3576",2829.000000
SAN NICOLAS TETELCO (PBLO),9,11,TLAHUAC,11-037,"3730","3729",5639.000000
TEMPILULI,9,11,TLAHUAC,11-061,,"3663",3669.000000
DEL MAESTRO,9,2,AZCAPOTZALCO,02-017,,"85, 91",654.000000
SAN MIGUEL (AMPL),9,11,TLAHUAC,11-035,,"3623",
TLACUITLAPA,9,10,ALVARO OBREGON,10-222,"3514","3516",3328.000000
BELEN DE LAS FLORES (U HAB),9,10,ALVARO OBREGON,10-231,"3248, 3246, 3247","3245",4035.000000
TOLTECA,9,10,ALVARO OBREGON,10-226,,"3210, 3213, 3214",2961.000000
TORRES SAN ANTONIO (U HAB),9,10,ALVARO OBREGON,10-229,,"3295",10609.000000
PILOTO (ADOLFO LOPEZ MATEOS),9,10,ALVARO OBREGON,10-171,"3320, 3355, 3316","3317, 3356, 3357",5635.000000
PUENTE COLORADO (AMPL),9,10,ALVARO OBREGON,10-185,"3519","3520",4276.000000
PUNTA DE CEHUAYO,9,10,ALVARO OBREGON,10-186,"3390","3389",3270.000000
PALMAS AXOTITLA,9,10,ALVARO OBREGON,10-167,,"3513",3625.000000
COOPERATIVA CEHUAYO,9,10,ALVARO OBREGON,10-046,,"3491",1474.000000
BONANZA,9,10,ALVARO OBREGON,10-032,"3252","3251",1835.000000
INFONAVIT IZTACALCO (U HAB) II,9,6,IZTACALCO,06-053,"1799, 1800, 1801, 1802, 1803, 1804, 1805",,7317.000000
LA HABANA,9,11,TLAHUAC,11-016,,"3703, 3704, 3708",5483.000000
LA MESA,9,11,TLAHUAC,11-018,,"3620",1552.000000
NUEVA STA ANITA,9,6,IZTACALCO,06-021,"1964","1957, 1959",2465.000000
LA MEXICANA,9,10,ALVARO OBREGON,10-106,"3401, 3242, 3243","3241, 3272, 3273, 3402",7594.000000
LA PALMITA,9,10,ALVARO OBREGON,10-109,,"3245",2068.000000
LA OTRA BANDA,9,10,ALVARO OBREGON,10-108,,"3223",991.000000
LA ANGOSTURA,9,10,ALVARO OBREGON,10-094,,"3574, 3575",4014.000000
