id,inegi,fecha_de_inicio_de_reporte_en_la_cbpcdmx,fuente_de_reporte,origen_de_la_noticia,sexo,edad,lugar_de_nacimiento,nacionalidad,escolaridad,estado_civil,parentesco_reportante,fecha_de_desaparicion,year_desaparicion,cve_ent_desp,entidad_de_desaparicion,cv_mun_desp,municipio_alcadia_de_la_desaparicion,colonia_de_la_desaparicion,circunstancias_de_la_desaparicion,estatus_de_localizacion,condicion_localizacion,fecha_de_localizacion,year_localizacion,estado_de_salud,constancia_de_localizacion,municipio_alcaldia_de_la_localizacion,tipo_de_lugar_de_la_localizacion,motivo_referido_de_desaparicion
1,09005,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,65,ciudad de mexico,mexicana,NA,NA,familiar,2021-12-27,2021,09,ciudad de méxico,005,gustavo a. madero,tres estrellas,iba rumbo a su trabajo,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
2,09007,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,87,guanajuato,mexicana,NA,NA,familiar,2021-12-30,2021,09,ciudad de méxico,007,iztapalapa,la regadera,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2022-01-04,2022,buen estado de salud,informe dado por familiar,benito juarez,en un lugar publico,extravio o desorientacion
3,09005,2021-12-31,noticia,portal CNB,hombre,71,NA,mexicana,NA,NA,familiar,2021-12-24,2021,09,ciudad de méxico,005,gustavo a. madero,pradera ii seccion,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
4,09003,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,NA,ciudad de mexico,mexicana,NA,NA,familiar,2018-06-16,2018,09,ciudad de méxico,003,coyoacán,ajusco,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
5,09005,2021-12-09,reporte,presencial,hombre,72,veracruz,mexicana,NA,NA,familiar,2019-12-16,2019,09,ciudad de méxico,005,gustavo a. madero,gabriel hernandez,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
6,09015,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,47,NA,mexicana,NA,NA,familiar,2021-12-06,2021,09,ciudad de méxico,015,cuauhtémoc,obrera,se desconoce,localizado,con vida,2021-12-09,2021,buen estado de salud,informe dado por familiar,cuauhtemoc,domicilio de la persona,ausencia deliberada
7,09015,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,72,NA,extranjera,NA,NA,otros,2021-12-08,2021,09,ciudad de méxico,015,cuauhtémoc,cuauhtemoc,se desconoce,localizado,con vida,2021-12-08,2021,buen estado de salud,informe dado por familiar,cuauhtemoc,en un lugar publico,ausencia deliberada
8,09016,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,33,NA,mexicana,NA,NA,familiar,2021-12-07,2021,09,ciudad de méxico,016,miguel hidalgo,ampliacion granada,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
9,09005,2021-12-08,noticia,colectivos de familiares,hombre,28,NA,mexicana,NA,NA,familiar,2016-07-15,2016,09,ciudad de méxico,005,gustavo a. madero,gertrudis sanchez 1a seccion,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
10,09006,2021-12-30,reporte,redes sociales y reportes telefónicos,hombre,52,NA,mexicana,NA,NA,familiar,2021-12-28,2021,09,ciudad de méxico,006,iztacalco,gabriel ramos millan,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-30,2021,buen estado de salud,informe dado por familiar,NA,NA,NA
11,09005,2021-12-30,noticia,comisiones de búsqueda,mujer,15,campeche,mexicana,NA,NA,familiar,2021-12-29,2021,09,ciudad de méxico,005,gustavo a. madero,tablas de san agustin,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
12,09002,2021-12-30,reporte,presencial,hombre,38,ciudad de mexico,mexicana,secundaria,union libre,familiar,2021-12-16,2021,09,ciudad de méxico,002,azcapotzalco,santa cruz de las salinas,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
13,09015,2021-12-30,reporte,redes sociales y reportes telefónicos,hombre,84,NA,mexicana,NA,NA,NA,2021-12-11,2021,09,ciudad de méxico,015,cuauhtémoc,buenavista,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
14,09003,2021-12-29,noticia,portal CNB,hombre,49,NA,mexicana,NA,NA,pareja o expareja,2019-05-24,2019,09,ciudad de méxico,003,coyoacán,cafetales,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
15,09005,2021-12-07,noticia,portal CNB,hombre,NA,NA,mexicana,NA,NA,familiar,2021-10-23,2021,09,ciudad de méxico,005,gustavo a. madero,tlalpexco,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
